FID,Type
0,0
1,6
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,3
14,3
15,3
16,6
17,0
18,0
19,2
20,3
21,2
22,0
23,2
24,2
25,3
26,9
27,3
28,0
29,6
30,6
31,0
32,0
33,0
34,0
35,0
36,7
37,0
38,0
39,0
40,0
41,3
42,3
43,0
44,0
45,0
46,3
47,6
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,6
59,2
60,2
61,0
62,0
63,8
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,6
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,3
92,0
93,0
94,0
95,0
96,0
97,0
98,3
99,0
100,3
101,0
102,0
103,0
104,3
105,0
106,0
107,0
108,0
109,8
110,0
111,0
112,0
113,0
114,0
115,0
116,2
117,2
118,0
119,3
120,0
121,3
122,3
123,0
124,5
125,9
126,0
127,0
128,9
129,3
130,0
131,3
132,9
133,6
134,0
135,6
136,2
137,0
138,0
139,0
140,2
141,0
142,0
143,0
144,6
145,8
146,6
147,6
148,6
149,6
150,6
151,6
152,3
153,0
154,9
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,0
169,6
170,6
171,6
172,0
173,3
174,8
175,3
176,0
177,3
178,3
179,0
180,9
181,0
182,3
183,0
184,6
185,6
186,6
187,8
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,3
198,8
199,8
200,8
201,6
202,6
203,6
204,6
205,0
206,3
207,3
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,0
225,6
226,0
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,6
236,6
237,0
238,6
239,6
240,0
241,3
242,6
243,0
244,0
245,0
246,0
247,6
248,6
249,6
250,6
251,6
252,6
253,8
254,6
255,6
256,8
257,8
258,6
259,8
260,8
261,3
262,6
263,0
264,0
265,3
266,1
267,8
268,8
269,0
270,0
271,6
272,8
273,8
274,0
275,0
276,0
277,2
278,6
279,6
280,6
281,6
282,3
283,0
284,0
285,0
286,9
287,0
288,9
289,9
290,9
291,6
292,0
293,0
294,0
295,0
296,0
297,3
298,0
299,3
300,3
301,0
302,3
303,3
304,3
305,0
306,3
307,3
308,0
309,0
310,0
311,3
312,0
313,0
314,0
315,0
316,3
317,3
318,0
319,0
320,0
321,6
322,3
323,6
324,6
325,6
326,6
327,6
328,0
329,6
330,0
331,6
332,1
333,0
334,0
335,0
336,1
337,5
338,0
339,0
340,0
341,6
342,0
343,0
344,0
345,0
346,6
347,6
348,6
349,6
350,0
351,0
352,6
353,6
354,0
355,6
356,0
357,6
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,6
366,0
367,0
368,0
369,6
370,0
371,0
372,0
373,6
374,3
375,8
376,8
377,3
378,3
379,3
380,0
381,3
382,0
383,8
384,0
385,0
386,8
387,0
388,3
389,0
390,3
391,3
392,8
393,8
394,3
395,3
396,0
397,3
398,3
399,0
400,9
401,3
402,3
403,3
404,3
405,0
406,3
407,8
408,3
409,0
410,3
411,0
412,3
413,0
414,3
415,3
416,8
417,0
418,0
419,8
420,0
421,0
422,8
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,7
448,0
449,0
450,0
451,7
452,7
453,0
454,6
455,6
456,6
457,0
458,0
459,6
460,6
461,6
462,6
463,0
464,6
465,6
466,6
467,7
